feed_url	site_name	lang	feed_kind	title	item_url	published	collected
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Paarberater Bibel	https://feedpress.me/link/19277/17356073/6866-542-8077	2026-06-17T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Muss Jesus meine Nummer 1 sein?	https://feedpress.me/link/19277/17338122/2803-542-8068	2026-06-15T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Zukunftsangst, ade!	https://feedpress.me/link/19277/17359716/6866-542-8035	2026-06-12T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Brot-Glück	https://feedpress.me/link/19277/16321419/3178-542-7559	2026-06-10T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Mehr als Schönschrift	https://feedpress.me/link/19277/16301256/3178-542-7543	2026-06-08T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Eine Bibliothek, die nie geschlossen hat	https://feedpress.me/link/19277/17354324/2270-542-8069	2026-06-05T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Was ist Fronleichnam?	https://feedpress.me/link/19277/17059236/2803-542-7927	2026-06-04T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Die Kreativität ankurbeln	https://feedpress.me/link/19277/16780169/6866-542-7757	2026-06-02T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Wenn Kaffee zu Kunst wird	https://feedpress.me/link/19277/16494203/3178-542-7619	2026-05-31T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Ein roter Teppich hinter Gittern	https://feedpress.me/link/19277/17339194/3178-542-8073	2026-05-29T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Was ist christlicher Zionismus?	https://feedpress.me/link/19277/17348361/2270-542-8065	2026-05-26T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Der Heilige Geist: Das unverstandene Geschenk	https://feedpress.me/link/19277/14565547/2803-542-3341	2026-05-23T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Die Kirchen und die AfD	https://feedpress.me/link/19277/17344485/2270-542-8075	2026-05-20T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Wenn der Puls den Verstand überholt	https://feedpress.me/link/19277/17343003/2803-542-8067	2026-05-18T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Freude ist lebensnotwendig	https://feedpress.me/link/19277/17342151/6866-542-8064	2026-05-16T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Himmelfahrt: klein aber oho	https://feedpress.me/link/19277/14565573/2803-542-3326	2026-05-14T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Gemeinsam auf Lebensreise	https://feedpress.me/link/19277/17337956/6866-542-8060	2026-05-11T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Suche nach dem heilsamen Klang	https://feedpress.me/link/19277/16274274/3178-542-7530	2026-05-09T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	Mit den Händen im Teig	https://feedpress.me/link/19277/17335089/6866-542-8055	2026-05-06T00:00:00+02:00	
https://www.erf.de/rss/erf-topthema	ERF.de - Topthema	DE	DEVOTIONAL	„Ich kann von jedem etwas lernen“	https://feedpress.me/link/19277/17331288/3178-542-8066	2026-05-04T00:00:00+02:00	
https://www.evangelium21.net/feed.rss	Evangelium21 – Neuigkeiten	DE	DEVOTIONAL	Maria und die unbefleckte Empfängnis	https://www.evangelium21.net/media/5204/maria-und-die-unbefleckte-empfaengnis	2026-06-16T17:00:00+02:00	
https://www.evangelium21.net/feed.rss	Evangelium21 – Neuigkeiten	DE	DEVOTIONAL	Gott vertrauen	https://www.evangelium21.net/media/5202/gott-vertrauen	2026-06-15T17:00:00+02:00	
https://www.evangelium21.net/feed.rss	Evangelium21 – Neuigkeiten	DE	DEVOTIONAL	Inhalte der Jugendarbeit langfristig denken	https://www.evangelium21.net/media/4653/inhalte-der-jugendarbeit-langfristig-denken	2026-06-15T13:00:00+02:00	
https://www.evangelium21.net/feed.rss	Evangelium21 – Neuigkeiten	DE	DEVOTIONAL	Wenn deine Kinder das Sagen hätten	https://www.evangelium21.net/media/5200/wenn-deine-kinder-das-sagen-haetten	2026-06-12T17:00:00+02:00	
https://www.evangelium21.net/feed.rss	Evangelium21 – Neuigkeiten	DE	DEVOTIONAL	Kunst und Glaube	https://www.evangelium21.net/media/5198/kunst-und-glaube	2026-06-11T17:00:00+02:00	
https://www.evangelium21.net/feed.rss	Evangelium21 – Neuigkeiten	DE	DEVOTIONAL	Brachte Jesus andere zum Schweigen?	https://www.evangelium21.net/media/5196/brachte-jesus-andere-zum-schweigen	2026-06-10T17:00:00+02:00	
